REF_AREA,TIME_PERIOD,OBS_VALUE,DATABASE_ID,TIME_FORMAT,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL
UZB,1999,4.300000002,WB_WDI,P1Y,PU,Annual,Uzbekistan,GDP growth (annual %)
VUT,1999,0.337293222,WB_WDI,P1Y,PU,Annual,Vanuatu,GDP growth (annual %)
VEN,1999,-5.970458146,WB_WDI,P1Y,PU,Annual,"Venezuela, RB",GDP growth (annual %)
VNM,1999,4.773586883,WB_WDI,P1Y,PU,Annual,Vietnam,GDP growth (annual %)
PSE,1999,8.280591451,WB_WDI,P1Y,PU,Annual,West Bank and Gaza,GDP growth (annual %)
YEM,1999,3.775530496,WB_WDI,P1Y,PU,Annual,"Yemen, Rep.",GDP growth (annual %)
ZMB,1999,4.650189746,WB_WDI,P1Y,PU,Annual,Zambia,GDP growth (annual %)
ZWE,1999,-0.817895267,WB_WDI,P1Y,PU,Annual,Zimbabwe,GDP growth (annual %)
AFE,2000,3.18137506,WB_WDI,P1Y,PU,Annual,Eastern & Southern Africa,GDP growth (annual %)
AFW,2000,3.81216115,WB_WDI,P1Y,PU,Annual,Western & Central Africa,GDP growth (annual %)
ARB,2000,6.336729224,WB_WDI,P1Y,PU,Annual,Arab World,GDP growth (annual %)
CSS,2000,4.691504911,WB_WDI,P1Y,PU,Annual,Caribbean small states,GDP growth (annual %)
CEB,2000,3.946049982,WB_WDI,P1Y,PU,Annual,Central Europe and the Baltics,GDP growth (annual %)
EAR,2000,4.36773102,WB_WDI,P1Y,PU,Annual,Early-demographic dividend,GDP growth (annual %)
EAS,2000,5.46046822,WB_WDI,P1Y,PU,Annual,East Asia & Pacific,GDP growth (annual %)
ZMB,2016,3.755100317,WB_WDI,P1Y,PU,Annual,Zambia,GDP growth (annual %)
ZWE,2016,0.755794059,WB_WDI,P1Y,PU,Annual,Zimbabwe,GDP growth (annual %)
AFE,2017,2.677523897,WB_WDI,P1Y,PU,Annual,Eastern & Southern Africa,GDP growth (annual %)
AFW,2017,2.296348866,WB_WDI,P1Y,PU,Annual,Western & Central Africa,GDP growth (annual %)
ARB,2017,1.329010002,WB_WDI,P1Y,PU,Annual,Arab World,GDP growth (annual %)
CSS,2017,-0.745458059,WB_WDI,P1Y,PU,Annual,Caribbean small states,GDP growth (annual %)
CEB,2017,5.107131791,WB_WDI,P1Y,PU,Annual,Central Europe and the Baltics,GDP growth (annual %)
EAR,2017,4.487111351,WB_WDI,P1Y,PU,Annual,Early-demographic dividend,GDP growth (annual %)
EAS,2017,5.062127615,WB_WDI,P1Y,PU,Annual,East Asia & Pacific,GDP growth (annual %)
EAP,2017,6.666722306,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (excluding high income),GDP growth (annual %)
TEA,2017,6.666447635,WB_WDI,P1Y,PU,Annual,East Asia & Pacific (IDA & IBRD),GDP growth (annual %)
EMU,2017,2.622625905,WB_WDI,P1Y,PU,Annual,Euro area,GDP growth (annual %)
ECS,2017,2.954540452,WB_WDI,P1Y,PU,Annual,Europe & Central Asia,GDP growth (annual %)
ZMB,2017,3.525862771,WB_WDI,P1Y,PU,Annual,Zambia,GDP growth (annual %)
ZWE,2017,4.734411178,WB_WDI,P1Y,PU,Annual,Zimbabwe,GDP growth (annual %)
AFE,2018,2.705194134,WB_WDI,P1Y,PU,Annual,Eastern & Southern Africa,GDP growth (annual %)
